,hypervolume,hypervolume,igd,igd,n_nondominated,n_nondominated,objective_spacing,objective_spacing,archive_input_diversity,archive_input_diversity
,mean,std,mean,std,mean,std,mean,std,mean,std
method,,,,,,,,,,
categorical_reward,0.41028000000000003,0.05582352505888533,0.17894636211357123,0.017099375932000435,39.4,4.669047011971501,0.10958613265137243,0.0346718245748014,0.35011310074558466,0.016203081185859832
gflownet_pareto,0.401408,0.04456220730619164,0.17785653864826867,0.012572069290012089,41.6,4.277849927241488,0.09673519147930203,0.025545945922631333,0.3576112902118359,0.02997720590998897
gfn_nsga2_feedback,0.525632,0.04578697380260022,0.1610263057089575,0.0074701498125376185,32.6,4.277849927241487,0.13132082720248633,0.012874570286207228,0.4921141169962411,0.009644150984425497
nsga2_surrogate,0.519728,0.05303755810743933,0.16391068491878807,0.015845218789481866,33.0,1.8708286933869707,0.13782473394416755,0.023552959614466542,0.5035570516806296,0.03363758632603383
random,0.289976,0.066560288686273,0.19674866680941533,0.016418761310206656,27.4,3.0495901363953806,0.1386211601690477,0.02213465387519898,0.4465766402844131,0.0076221505090545765
scalarisation,0.461128,0.03186002306967154,0.17485774705140525,0.006790314904030247,37.2,5.540758070878026,0.1075800006094519,0.04309468562065148,0.39785716281809974,0.022390775457220034
sobol,0.370024,0.04801871801703999,0.1837664097235565,0.011311726953313728,28.0,1.0,0.12391193618065133,0.025070301472522934,0.4441374237739385,0.018521209663337795
