method,seed,round,budget,hypervolume,igd,n_nondominated,objective_spacing,archive_input_diversity,last_batch_diversity
scalarisation,3,0,24,0.12344,0.30553977726534287,11,0.12402363262964096,0.44854570296597546,
scalarisation,3,1,36,0.27884,0.23903971351467593,13,0.16471004450181867,0.4273079585236405,0.432688627488502
scalarisation,3,2,48,0.3407,0.23103765837360157,16,0.10896372229072915,0.436069685895781,0.4210809404381086
scalarisation,3,3,60,0.35736,0.20209232174742964,23,0.08555296160799246,0.4511098796301396,0.4847615496081781
scalarisation,3,4,72,0.37298,0.18721885299896857,30,0.11019440609271428,0.42383476816525323,0.38421133496022586
scalarisation,3,5,84,0.37365,0.1880618737209892,31,0.1054068660637581,0.40954677782865473,0.550129736750792
scalarisation,3,6,96,0.41017,0.18567239594375917,35,0.05801271403347753,0.4056642346833317,0.5475995304429048
scalarisation,4,0,24,0.20096,0.24898532418946184,13,0.0843456685577105,0.4836114190940184,
scalarisation,4,1,36,0.38668,0.21334799758006387,17,0.1261430693286879,0.4375815417416553,0.42430436614357525
scalarisation,4,2,48,0.40328,0.18543254961560848,27,0.10227280531838048,0.4185077910506761,0.3215810452068053
scalarisation,4,3,60,0.42141,0.1884789831583543,30,0.10437580868710242,0.38397813067060244,0.397255406509411
scalarisation,4,4,72,0.42999,0.18288943634468513,35,0.09710025301812644,0.3558340803932107,0.3423808657921143
scalarisation,4,5,84,0.44581,0.17524499130721818,42,0.07784504982140189,0.383619893396012,0.5127070292265927
scalarisation,4,6,96,0.4601,0.17169352423828227,46,0.06556651484936674,0.37038002558419625,0.47409720993043236
categorical_reward,0,0,24,0.24892,0.2974996019805351,12,0.1997783292683372,0.4920763373664329,
categorical_reward,0,1,36,0.25039,0.2894477969551351,16,0.19459186182059324,0.4827958066122066,0.2819459857679343
categorical_reward,0,2,48,0.26088,0.2694758125885803,12,0.19717252482623254,0.4891584454705345,0.28906038699795494
categorical_reward,0,3,60,0.44961,0.19757133586908743,18,0.13241213989546063,0.42277993796558616,0.32539966472222465
categorical_reward,0,4,72,0.47148,0.17493855466014221,25,0.14083808918079457,0.38125076398730084,0.3019136122853823
categorical_reward,0,5,84,0.47538,0.16528937355533016,32,0.13482701030747957,0.37847180413194964,0.37768064690932157
categorical_reward,0,6,96,0.47702,0.1608020761935279,38,0.12296610501300495,0.36813782843160575,0.42443242065151326
categorical_reward,1,0,24,0.10398,0.33586966974103377,14,0.07035696082858457,0.44225031020119293,
categorical_reward,1,1,36,0.34422,0.2507673023362515,16,0.11787605185833884,0.40156239236460584,0.3251845227782314
categorical_reward,1,2,48,0.37134,0.21292365706282163,21,0.08718393428397186,0.3610402723699494,0.2858226435161821
categorical_reward,1,3,60,0.38901,0.18893130310203918,25,0.13460691393661864,0.3489589928739764,0.3179625436720685
categorical_reward,1,4,72,0.41492,0.17221231049719105,34,0.09711884230437023,0.3480057244144747,0.344979102835424
categorical_reward,1,5,84,0.41669,0.16507882152754644,43,0.09586324002218027,0.34665944047823166,0.34385075526802034
categorical_reward,1,6,96,0.43392,0.16206744518352445,44,0.10763654068345198,0.3507648124706658,0.29368702466392127
categorical_reward,2,0,24,0.22332,0.2483935922678904,12,0.2610351242252558,0.47198528358701053,
categorical_reward,2,1,36,0.30408,0.22435352054756355,18,0.23334437583937068,0.4242177186528951,0.36575627926503845
categorical_reward,2,2,48,0.32797,0.212517541983094,18,0.1936982593778921,0.3830603883403408,0.323205523629883
categorical_reward,2,3,60,0.36049,0.20559021341354666,22,0.18463347316678905,0.36070440719961183,0.38050348851074794
categorical_reward,2,4,72,0.36385,0.19543499904555608,29,0.16640558618414172,0.36570070103041125,0.3766875441693639
categorical_reward,2,5,84,0.36386,0.19322629044168768,31,0.1628573996907786,0.3576069191710387,0.3628566010098702
categorical_reward,2,6,96,0.36972,0.19253148061752015,32,0.1602301282823049,0.35443044052654915,0.38168264064521146
categorical_reward,3,0,24,0.12344,0.30553977726534287,11,0.12402363262964096,0.44854570296597546,
categorical_reward,3,1,36,0.26138,0.22720400794781045,18,0.14046377842354843,0.4366799676680643,0.37352166622089616
categorical_reward,3,2,48,0.27924,0.22015315080336487,20,0.1444542848125527,0.40423768730997955,0.3036411382408367
categorical_reward,3,3,60,0.28862,0.20693135563525059,27,0.1204869568709157,0.3758064665017465,0.36550938612938644
categorical_reward,3,4,72,0.2925,0.20096584766627443,33,0.11236812709530726,0.35647594638269364,0.28188994435756815
